Magnemite 25 35 70 95 55 45 4 17 4 17 8 13 Magneton 30
Farfetch'd 52 65 55 58 62 60 13 8 13 8 10 11 _ 0
Doduo 35 85 45 35 35 75 13 8 13 8 11 10 Dodrio 31
Seel 65 45 55 45 70 45 18 0 18 13 12 15 Dewgong 34
Grimer 80 80 50 40 50 25 14 0 14 2 9 11 Muk 38
Shellder 30 65 100 45 25 40 18 0 18 16 13 12 Shellder 25
Gastly 30 35 30 100 35 80 9 14 14 9 2 8 Haunter 25
Onix 35 45 160 30 45 70 16 11 16 11 17 8 _ 0
Drowzee 60 48 45 43 90 42 15 0 15 5 13 2 Hypno 26
Krabby 30 105 90 25 25 50 18 0 18 11 16 6 Kingler 28
Voltorb 40 30 50 55 55 100 4 0 4 13 2 16 Electrode 30
Exeggcute 60 40 80 60 45 40 10 15 10 15 6 2 Exeggutor 25
Cubone 50 50 95 40 50 25 11 0 11 6 9 2 Morowak 28 
Hitmonlee 50 120 53 35 110 87 6 0 6 17 13 16 _ 0
Hitmonchan 50 105 79 35 110 76 6 0 6 17 13 16 _ 0
Lickitung 90 55 75 60 75 30 13 0 13 5 6 15 _ 0
Koffing 40 65 95 60 45 35 14 0 14 17 8 7 Weezing 35
Rhyhorn 80 85 95 30 30 25 11 16 11 16 6 17 Rhydon 42
Chansey 250 5 5 35 105 50 13 0 13 5 15 11 _ 0
Tangela 65 55 115 100 40 60 10 0 10 15 2 5 _ 0
Kangaskhan 105 95 80 40 80 90 13 0 13 11 16 6 _ 0
Horsea 30 40 70 70 25 60 18 0 18 13 14 3 Seadra 32
Goldeen 45 67 60 35 50 63 18 0 18 5 15 13 Seaking 33
Staryu 30 45 55 70 55 85 18 0 18 15 13 17 Starmie 25
Mr.Mime 50 65 65 90 90 100 15 5 15 5 2 13 _ 0
Scyther 70 110 80 55 80 105 1 8 1 8 6 13 _ 0
Jynx 65 50 35 115 95 95 12 15 12 15 5 9 _ 0
Electabuzz 65 83 57 95 85 105 4 0 4 6 2 7 _ 0
Magmar 65 95 57 100 85 93 7 0 7 6 5 2 _ 0
Pinsir 65 125 100 55 70 85 1 0 1 11 13 16 _ 0
Tauros 75 100 95 40 70 110 13 0 13 16 11 6 _ 0
Magikarp 20 10 55 15 20 80 18 0 18 13 2 8 Gyarados 20
Lapras 130 85 80 85 95 60 18 12 18 12 16 13 _ 0
Ditto 48 48 48 48 48 48 13 0 13 15 2 5 _ 0
Eevee 55 55 50 45 65 55 13 0 13 11 7 15 _ 0
Porygon 65 60 70 85 75 40 13 0 13 4 8 17 _ 0
Omanyte 35 40 100 90 55 35 16 18 16 18 11 14 Omastar 40
Kabuto 30 80 90 55 45 55 16 18 16 18 1 11 Kabutops 40
Aerodactyl 80 135 85 70 95 150 16 8 11 16 8 9 _ 0
Snorlax 160 110 65 65 110 30 13 0 13 6 16 11 _ 0
Dratini 41 64 45 50 50 50 3 0 3 2 5 13 Dragonair 30
=========================================================
Ivysaur 60 62 63 80 80 60 10 14 10 14 1 11 Venusaur 32
Venusaur 80 82 83 100 100 80 10 14 10 14 1 11 _ 0
Charmeleon 58 64 58 80 65 80 7 0 7 6 3 2 Charizard 36
Charizard 78 84 78 109 85 100 7 8 7 8 6 3 _ 0
Wartortle 59 63 80 65 80 58 18 0 18 6 13 16 Blastoise 36
Blastoise 79 83 100 85 105 78 18 0 18 6 13 16 _ 0
